f1,f2,f3,f4,f5,f6,f7,f8,f9,eer
dAlpha,Z,ddY,dZ,7_WIN,alpha,X,5_WIN,dY,0.1499999999994369
ddX,Z,ddY,dZ,7_WIN,Y,vRatio,v,COS,0.1999999999987318
ac,dX,dAlpha,dTheta,7_WIN,SIN,alpha,dY,ddX,0.1500000000002475
ddX,ac,Z,dY,dv,dZ,dAc,X,COS,0.09999999999998407
ac,dY,Z,dX,dAlpha,dZ,dv,ddY,ddX,0.0
ac,Z,dZ,dv,theta,dRo,7_WIN,5_WIN,ro,0.19999999999922763
dY,ac,Z,ddX,dX,dZ,dv,ddY,COS,0.25
ac,dX,Z,dv,dAc,dRo,SIN,v,ddX,0.2500000000002095
dY,ac,Z,dZ,dv,theta,Y,SIN,ddY,0.0
ac,ddY,dX,dv,dZ,dRo,X,dY,ddX,0.050000000000475955
dX,Y,ac,dv,SIN,dRo,7_WIN,v,theta,0.29999999999966753
ac,dY,Z,dX,dZ,dv,Y,ddY,ddX,0.0
dY,Z,dZ,dv,theta,Y,SIN,ddY,ddX,0.0
ac,dY,Z,dX,dAlpha,dZ,dv,ddY,ddX,0.0
ac,dX,ddY,dv,dAlpha,dZ,Y,dY,ddX,0.05000000000004372
dY,dAlpha,dX,dv,dTheta,dZ,theta,7_WIN,5_WIN,0.0
ac,dY,Z,dX,dAlpha,dZ,dv,ddY,ddX,0.0
Z,dX,dZ,theta,dRo,v,ddY,ddX,ro,0.09999999999999998
ac,dX,Z,dZ,dRo,7_WIN,X,ddY,ro,0.20000000000033458
ac,Z,dAlpha,dv,dTheta,dRo,alpha,X,ro,0.09999999999999856
dX,dAlpha,7_WIN,alpha,vRatio,dY,5_WIN,ro,COS,0.10000000000000128
ac,dY,Z,dX,dAlpha,dZ,dv,ddY,ddX,0.0
ac,dY,Z,dX,dAlpha,dZ,dv,ddY,ddX,0.0
ac,dY,dv,dZ,dAc,Y,X,ddY,5_WIN,0.10000000000008323
ac,Z,dAlpha,dX,dZ,dv,theta,7_WIN,ddX,0.05000000000004372
Z,dTheta,dRo,7_WIN,SIN,v,ddY,5_WIN,COS,0.05000000000112605
ac,Z,dAlpha,ddY,theta,dAc,7_WIN,dY,5_WIN,0.1000000000000012
ac,dX,dAlpha,Z,dTheta,dRo,7_WIN,v,ddX,0.19999999999893994
ac,dX,dZ,theta,dRo,7_WIN,X,v,5_WIN,0.2999999999985076
